Sentence ID	Audio ID
2483	449783
2487	729949
2488	524788
2494	706491
2495	733048
2497	515819
2509	729950
2512	930518
2516	733049
2519	607886
2524	609572
2525	733050
2528	330620
2529	729951
2534	729952
2540	568121
2542	820139
2543	568122
2544	733051
2545	438218
2546	733052
2553	598899
2557	733053
2558	733054
2565	598028
2569	733055
2570	733056
2578	733057
2579	453023
2581	645193
2582	587249
2584	587250
2586	820140
2589	607887
2592	733058
2593	733059
2602	930519
2604	733060
2605	931343
2617	729953
2618	733061
2620	820141
2621	733062
2626	442872
2628	733063
2632	729954
2635	729955
2638	733064
2644	607888
2645	733065
2649	733066
2652	929582
2655	733067
2658	733068
2659	733069
2661	733070
2672	733071
2677	733072
2681	733073
2684	607889
2691	733074
2692	691329
2693	733075
2702	929583
2705	607890
2708	729956
2710	729957
2711	729958
2716	733076
2717	645194
2718	641677
2724	688820
2729	733077
2739	607891
2741	733078
2744	729959
2748	442206
2749	729960
2752	441314
2754	453024
2755	733079
2759	449784
2761	733080
2763	733081
2766	733082
2769	459165
2771	729961
2772	587251
2778	732244
2781	453025
2782	733083
2788	607892
2790	733084
2791	733085
2793	594169
2794	733086
2797	931344
2803	607893
2804	607894
2809	733087
2815	733088
2816	733089
2817	733090
2818	733091
2824	733092
2829	607895
2831	733093
2835	587252
2836	733094
2837	598900
2842	733095
2846	931345
2848	440910
2851	733096
2853	788277
2854	607896
2857	733097
2858	733098
2859	438219
2862	733099
2863	733100
2864	729962
2866	609573
2869	611590
2870	820142
2872	524789
2873	820143
2875	449785
2879	645195
2880	933807
2887	598901
2888	598902
2889	441832
2890	733101
2891	691330
2892	587253
2894	453026
2895	729963
2896	932820
2897	598433
2898	733102
2901	733103
2903	733104
2907	1535
2910	440911
2912	733105
2913	733106
2916	733107
2920	587254
2921	688821
2922	733108
2929	932821
2932	435928
2935	733109
2939	442544
2945	729964
2947	598434
2949	733110
2954	598435
2955	733111
2958	609574
2965	639095
2967	788278
2972	931346
2974	461729
2978	733112
2980	733113
2983	582308
2986	729965
2989	733114
2992	932822
2993	733115
2994	733116
3010	729966
3013	932823
3019	788279
3020	598436
3022	931347
3026	587255
3027	733117
3039	733118
3042	733119
3044	820144
3045	733120
3046	733121
3047	691331
3048	733122
3050	733123
3051	733124
3052	788280
3054	733125
3057	931348
